id,name,type
1,1号电池,有害垃圾
2,3.5英寸软盘,干垃圾
3,502胶水,干垃圾
4,504胶水,干垃圾
5,504胶水废包装,干垃圾
6,50有害垃圾胶水,干垃圾
7,5号电池,有害垃圾
8,5号电池（无汞）,干垃圾
9,5号干电池,有害垃圾
10,7号电池,有害垃圾
11,7号电池（无汞）,干垃圾
12,8干垃圾消毒液瓶,干垃圾
13,A4纸,可回收垃圾
14,AD钙奶瓶,可回收垃圾
15,A干垃圾纸,可回收垃圾
16,A干垃圾纸包装袋,干垃圾
17,A湿垃圾纸,可回收垃圾
18,A湿垃圾纸包装袋,干垃圾
19,cd,可回收垃圾
20,CD机,可回收垃圾
21,CD塑料盒,可回收垃圾
22,CPU,可回收垃圾
23,DVD,干垃圾
24,iPad,可回收垃圾
25,iPhone,可回收垃圾
26,iphone x,可回收垃圾
27,IPHONE手机,可回收垃圾
28,keyword,可回收垃圾
29,KFC食物包装,干垃圾
30,KFC纸袋,可回收垃圾
31,KFC纸盒,干垃圾
32,Kindle,可回收垃圾
33,KINDLE壳,干垃圾
34,kt板,可回收垃圾
35,LED 灯（含水银）,有害垃圾
36,led灯,有害垃圾
37,LED灯(含水银),有害垃圾
38,LED灯泡,有害垃圾
39,N次贴,干垃圾
40,PET瓶,可回收垃圾
41,PET塑料瓶,可回收垃圾
42,PE塑料袋,干垃圾
43,pe塑料盒,可回收垃圾
44,PH试纸,干垃圾
45,PIZZA盒,干垃圾
46,pp管,可回收垃圾
47,PS,可回收垃圾
48,PS湿垃圾,可回收垃圾
49,PU革,可回收垃圾
50,PVC瓶,可回收垃圾
51,USB风扇,可回收垃圾
52,USB线,可回收垃圾
53,U盘,可回收垃圾
54,U型回形针,干垃圾
55,xbox,可回收垃圾
56,x光胶片,有害垃圾
57,X光片,有害垃圾
58,X光片等感光胶片,有害垃圾
59,zippo打火机,干垃圾
60,阿尔卑斯糖,湿垃圾
61,阿华田,湿垃圾
62,阿胶,湿垃圾
63,阿胶糕,湿垃圾
64,阿司匹林,有害垃圾
65,艾草,湿垃圾
66,艾草灰,干垃圾
67,艾灸条,干垃圾
68,艾灸贴,干垃圾
69,艾灸渣,干垃圾
70,艾叶,湿垃圾
71,安全帽,可回收垃圾
72,安全套,干垃圾
73,安全套包装袋,干垃圾
74,安全座椅,大件垃圾
75,安神补脑液瓶,有害垃圾
76,安卓手机,可回收垃圾
77,按摩棒,干垃圾
78,肮脏塑料袋,干垃圾
79,奥特曼卡片,可回收垃圾
80,奥特曼玩具,可回收垃圾
81,八宝饭,湿垃圾
82,八宝粥,湿垃圾
83,八角,湿垃圾
84,巴旦木,湿垃圾
85,巴旦木壳,湿垃圾
86,巴黎水玻璃瓶,可回收垃圾
87,芭比娃娃,可回收垃圾
88,芭蕉叶,湿垃圾
89,白板,大件垃圾
90,白板笔,干垃圾
91,白板擦,干垃圾
92,白菜,湿垃圾
93,白菜叶,湿垃圾
94,白茶,湿垃圾
95,白炽灯,有害垃圾
96,白炽灯泡,有害垃圾
97,白瓜子,湿垃圾
98,白酒瓶,可回收垃圾
99,白米虾,湿垃圾
100,白砂糖,湿垃圾
101,白纸,可回收垃圾
102,白煮蛋,湿垃圾
103,白煮蛋壳,湿垃圾
104,百洁布,干垃圾
105,百香果壳,湿垃圾
106,百叶窗,可回收垃圾
107,板擦儿,干垃圾
108,板凳,大件垃圾
109,板蓝根冲剂,有害垃圾
110,板栗,湿垃圾
111,板栗壳,湿垃圾
112,板栗壳,湿垃圾
113,办公用纸,可回收垃圾
114,办公桌,可回收垃圾
115,蚌壳,干垃圾
116,蚌肉,湿垃圾
117,棒棒糖,湿垃圾
118,棒棒糖棒子,干垃圾
119,棒棒糖杆,干垃圾
120,棒冰包装袋,干垃圾
121,棒冰棍,干垃圾
122,棒骨,干垃圾
123,包包,可回收垃圾
124,包菜叶,湿垃圾
125,包蛋糕的塑料袋,干垃圾
126,包狗屎的纸巾,干垃圾
127,包裹着鼻涕的纸巾,干垃圾
128,包裹着狗屎的报纸,干垃圾
129,包裹着狗屎的塑料袋,干垃圾
130,包裹着狗屎的纸巾,干垃圾
131,包裹着鸡蛋壳的餐巾纸,干垃圾
132,包裹着口香糖的纸巾,干垃圾
133,包裹着猫屎的豆腐猫砂,湿垃圾
134,包裹着猫屎的猫砂,湿垃圾
135,包裹着猫屎的膨润土猫砂,干垃圾
136,包裹着猫屎的塑料袋,干垃圾
137,包裹着痰的纸巾,干垃圾
138,包裹着西瓜籽的纸巾,干垃圾
139,包海鲜的袋子,干垃圾
140,包了番茄皮的纸巾,干垃圾
141,包书膜,干垃圾
142,包书皮,干垃圾
143,包书纸,可回收垃圾
144,包装薄膜,干垃圾
145,包装材料,干垃圾
146,包装袋,干垃圾
147,包装干燥剂,干垃圾
148,包装盒,可回收垃圾
149,包装食品袋,干垃圾
150,包装塑料袋,干垃圾
151,包装塑料纸,干垃圾
152,包装箱,可回收垃圾
153,包装用纸,可回收垃圾
154,包装纸,可回收垃圾
155,包装纸盒,可回收垃圾
156,包装纸箱,可回收垃圾
157,包子,湿垃圾
158,薄荷叶,湿垃圾
159,薄型塑料袋,干垃圾
160,宝特瓶,可回收垃圾
161,保健品,有害垃圾
162,保健品盒,可回收垃圾
163,保健品瓶子,有害垃圾
164,保冷剂,干垃圾
165,保龄球,干垃圾
166,保暖杯,可回收垃圾
